Country,Class,Region,SR_2016,SR_2015,SR_2010,SR_2005,SR_CHG_1015,SR_p_CHG,M_2016,M_2015,M_2010,M_2005,F_2016,F_2015,F_2010,F_2005,Alc_2016,Alc_2015,Alc_2014,Alc_2013,Alc_2012,Alc_2011,Alc_2010,Alc_2009,Alc_2008,Alc_2007,Alc_2006,Alc_2005,Alc_Chg_1015,Alc_p_Chg,Heavy_ttl_2016,govt_exp_mental/health_2011,govt_exp_hosp/health_2011,govt_exp_mh,govt_exp_hosp,mh_legis,mh_plan,mh_policy,psychiatrist_2014,psychiatrist_2011,psychiatrist_chg,psychiatrist_p_chg,nurse_2014,nurse_2011,nurse_chg,nurse_p_chg,sowork_2014,sowork_2011,sowork_chg,sowork_p_chg,psychologist_2014,psychologist_2011,psychologist_chg,psychologist_p_chg,hosp_2011,outpatientfac_2011,daytreat_2011,communityres_2011,b_hosp_2011,b_outpatientfac_2011,b_daytreat_2011,b_communityres_2011,beds_gen_hosp_2014,beds_gen_hosp_2011,beds_gen_hosp_chg,beds_gen_hosp_p_chg,beds_comm_res_2014,beds_comm_res_2011,beds_comm_res_chg,beds_comm_res_p_chg,beds_mh_2014,beds_mh_2011,beds_mh_chg,beds_mh_p_chg,child_abuse_pgm_12-14,youth_viol_pvn_12-14,dom_abuse_12-14,sen_abuse_12-14,conf_alc_disorder_2014,conf_drug_disorder_2014,awr_binge_drinking,awr_dom_viol,awr_eld,awr_hiv,awr_work/sprts,awr_dd,awr_illalc,awr_indig,awr_preg,awr_harmother,awr_youthdrink,treat_sub_alt,treat_sub_add,treat_alc_alt,treat_alc_add,alc_policy_writ,alc_policy_before,alc_policy_during,alc_policy_rev,alc_policy_rev/add_during,che_2015,che_2011,che_2010,che_chg,che_p_chg,unemp_adv_2010,unemp_adv_2015,unemp_chg,unemp_p_chg,risk_impov_hc_2010,risk_impov_hc_2015,risk_impov_hc_chg,risk_impov_hc_p_chg,pop_2010,pop_2015,chg_pop,SR_act_2010,SR_act_2015,std_sr
"Bahamas, The",H,Latin America & Caribbean,1.7,1.8,2,2.2,-0.2,-0.1,3,3,3.4,3.8,0.5,0.5,0.6,0.7,,8.65,8.62,8.55,8.86,8.94,8.75,8.63,9.53,10.02,10.29,10.64,-0.1,-0.011428571,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,, ,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1992,1,0,2006,0,1699.1,1733,1670.4,28.7,0.02,,,,,,,,,360832,386838,26006,7.21664,6.963084,
Bahrain,H,Middle East & North Africa,5.9,5.9,5.2,7,0.7,0.13,8.4,8.3,6.9,9.9,1.9,2,2.4,2.7,2.08,2.16,2.12,2.12,2.02,1.86,2.1,2.1,2.16,2.16,2.2,2.15,0.06,0.028571429,29.5,,0.04,,49.568,0,1,1,4.84,8.18,-3.34,-0.41,22.69,29.12,-6.43,-0.22,0.74,0.87,-0.13,-0.15,0.74,0.5,0.24,0.48,0.12,0.62,0.25,0,1,1,1,0,,0,,,,,,,16.81,28,-11.19,-0.4,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,2453.2,1239.2,1306.4,1146.8,0.88,,,,,,,,,1240862,1371855,130993,64.524824,80.939445,1.134615385
Bangladesh,LM,South Asia,5.9,6.1,6.4,6.3,-0.3,-0.05,4.7,4.7,4.3,4.5,7,7.4,8.5,8.2,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,36.8,0.44,0.36,31.24,25.56,0,1,1,0.13,0.07,0.06,0.86,0.27,0.2,0.07,0.35,0,0,0,,0.03,0.01,0.02,2,0,0.04,0,0.01,0,1,0,1,0.24,0.55,-0.31,-0.56,2.9,0.78,2.12,2.72,0.32,0.3,0.02,0.07,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1990,1,0,2014,1,88,71,64.2,23.8,0.37,,,,,69.6,59.5,-10.1,-0.15,152149102,161200886,9051784,9737.542528,9833.254046,0.953125
Barbados,H,Latin America & Caribbean,0.8,0.7,2.1,3.7,-1.4,-0.67,1,1,3,3.9,0.5,0.5,1.3,3.4,,9.15,8.97,8.88,8.79,8.49,8.45,8.55,8.83,8.43,8.6,8.17,0.7,0.082840237,46.9,,,,,1,0,1,,4.29,,,,41.71,,,,1.95,,,,9.35,,,0.39,5.46,0,0.39,1,1,0,1,4.2,3.12,1.08,0.35,5.59,7.02,-1.43,-0.2,192.27,209.31,-17.04,-0.08,,,,,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,,0,0,,0,1233.6,1140.4,1042.3,191.3,0.18,,,,,,,,,279569,284217,4648,5.870949,1.989519,
Belarus,UM,Europe & Central Asia,26.2,26.3,38.2,45.1,-11.9,-0.31,46.9,47,68.1,80,8.2,8.3,12.3,14.5,10.05,10.09,11.71,12.37,14.14,15.05,13.88,13.97,14.54,13.86,12.53,11.05,-3.79,-0.273054755,34.1,,,,,1,1,1,7.66,8.77,-1.11,-0.13,24.13,22.4,1.73,0.08,0.65,0.22,0.43,1.95,3.3,3.42,-0.12,-0.04,0.15,0.15,0.26,,1,1,1,1,3.28,4.69,-1.41,-0.3,,,,,67.69,58.51,9.18,0.16,2,2,2,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2001,1,0,2016,0,1084.6,774,809.7,274.9,0.34,,,,,1.4,0.5,-0.9,-0.64,9490583,9489616,-967,3625.402706,2495.769008,0.688481675
Belgium,H,Europe & Central Asia,20.7,20.1,21.3,21.2,-1.2,-0.06,27.8,27,29.3,30.6,13.8,13.4,13.6,12.1,,10.36,10.57,10.33,10.09,10.14,10.27,10.1,10.51,13.43,10.94,12.21,0.09,0.008763389,42.1,,,,,1,1,1,20.32,,,,,0.04,,,,0.89,,,,1.34,,,0.64,0.83,1.27,,1,1,1,1,30.44,25.59,4.85,0.19,,,,,137.89,134.47,3.42,0.03,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,4782.4,4158.2,3980,802.4,0.2,4.634799957,4.30039978,-0.334400177,-7%,0,0,0,,10895586,11274196,378610,2320.759818,2266.113396,0.943661972
Belize,UM,Latin America & Caribbean,4.7,4.8,4.9,4.9,-0.1,-0.02,7.9,7.9,8,8,1.6,1.7,1.9,1.9,,6.2,6.17,6.17,6.28,6.26,6.38,6.45,6.86,6.93,6.22,6.06,-0.18,-0.028213166,47.3,,,,,0,1,1,0.59,0.96,-0.37,-0.39,5.3,7.67,-2.37,-0.31,0.59,0,0.59,,0.29,0,0.29,,0,2.88,0,0.32,0,1,0,1,4.71,1.28,3.43,2.68,11.77,11.5,0.27,0.02,0,0,0,,2,2,2,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,,0,0,,0,523.7,441.7,448.8,74.9,0.17,,,,,,,,,321608,359288,37680,15.758792,17.245824,
Benin,L,Sub-Saharan Africa,9.9,9.9,9.6,9.7,0.3,0.03,13.9,13.9,13.4,13.5,5.9,6,5.9,6.1,,1.55,1.6,1.45,1.42,1.44,1.37,1.21,1.34,1.2,1.26,1.22,0.18,0.131386861,37.3,,,,,0,0,0,0.11,0.14,-0.03,-0.21,0.29,0.22,0.07,0.32,0.03,0.01,0.02,2,0.04,0.02,0.02,1,0.02,0.16,0,0.04,1,1,0,1,0.43,0.22,0.21,0.95,2.83,5.43,-2.6,-0.48,0.94,2.17,-1.23,-0.57,1,2,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,2008,1,0,2013,1,84.5,77.3,73.3,11.2,0.15,,,,,59.6,62.8,3.2,0.05,9199259,10575952,1376693,883.128864,1047.019248,1.03125
Bhutan,LM,South Asia,11.4,11.6,11.1,12.2,0.5,0.05,14,14.1,13.4,14.9,8.5,8.7,8.4,9.2,,,,0.19,0.4,0.18,1.16,0.22,0.3,0.2,0.33,1.1,,,37.8,,,,,0,1,1,,0.28,,,,78.48,,,,0,,,,0,,,0,4.38,0,0,0,1,0,0,20.9,,,,,0,,,21.83,0,21.83,,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2015,0,0,,0,287.1,205,200,87.1,0.44,,,,,30.2,17.4,-12.8,-0.42,727641,787386,59745,80.768151,91.336776,
Bolivia,LM,Latin America & Caribbean,12.2,12.4,14.1,15.3,-1.7,-0.12,15.8,15.9,17.7,19.2,8.6,8.8,10.4,11.4,3.57,3.61,3.69,3.73,3.82,3.86,3.9,3.83,3.75,3.47,3.22,2.85,-0.29,-0.074358974,46.5,,,,,0,1,0,,1.06,,,,0.34,,,,0.25,,,,0.46,,,0.09,0.39,0.12,0.01,1,1,1,1,,,,,,0.26,,,9.37,9.53,-0.16,-0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,445.8,283.5,270,175.8,0.65,,,,,40.9,32.9,-8,-0.2,9918242,10724705,806463,1398.472122,1329.86342,0.879432624
